user,component,added_date,priority,reason
User 64,Component 11,2020-06-02,4,Gift
User 37,Component 74,2020-09-06,2,Gift
User 60,Component 17,2023-01-23,3,Upgrade
User 59,Component 52,2018-04-14,4,Gift
User 84,Component 15,2023-06-06,2,Upgrade
User 14,Component 5,2016-05-29,3,Gift
User 3,Component 41,2022-10-21,5,Replacement
User 94,Component 10,2023-02-16,1,Replacement
User 3,Component 64,2020-07-28,3,Upgrade
User 36,Component 41,2020-02-22,3,Replacement
User 44,Component 84,2017-10-30,4,Upgrade
User 90,Component 71,2021-03-24,4,Replacement
User 51,Component 77,2015-06-04,3,Replacement
User 55,Component 10,2021-11-22,4,Replacement
User 87,Component 23,2018-05-15,1,Replacement
User 49,Component 33,2019-02-13,5,Replacement
User 3,Component 23,2020-10-03,4,Replacement
User 38,Component 22,2024-04-22,1,Upgrade
User 12,Component 75,2020-01-16,3,Replacement
User 57,Component 95,2016-08-13,4,Upgrade
User 9,Component 38,2023-12-14,4,Replacement
User 84,Component 69,2022-02-26,5,Replacement
User 62,Component 100,2023-06-10,5,Replacement
User 63,Component 96,2022-07-20,1,Upgrade
User 26,Component 19,2020-01-19,3,Replacement
User 19,Component 97,2022-04-23,5,Replacement
User 2,Component 38,2022-01-17,2,Gift
User 93,Component 96,2016-12-30,3,Gift
User 22,Component 25,2017-04-10,3,Replacement
User 10,Component 37,2017-10-09,4,Gift
User 7,Component 74,2020-11-01,4,Replacement
User 87,Component 22,2017-08-19,2,Upgrade
User 46,Component 100,2017-01-20,3,Replacement
User 54,Component 32,2020-01-30,1,Gift
User 1,Component 52,2020-01-20,3,Gift
User 50,Component 36,2022-09-17,5,Replacement
User 11,Component 87,2015-03-17,2,Upgrade
User 100,Component 48,2016-05-16,3,Upgrade
User 99,Component 93,2015-06-21,4,Gift
User 31,Component 93,2024-07-25,2,Upgrade
User 10,Component 89,2020-04-26,5,Gift
User 75,Component 67,2018-07-19,3,Replacement
User 39,Component 94,2024-07-18,5,Gift
User 75,Component 28,2023-05-05,2,Gift
User 70,Component 60,2020-12-08,2,Upgrade
User 55,Component 24,2022-12-06,4,Upgrade
User 92,Component 2,2020-06-15,4,Gift
User 4,Component 58,2023-08-08,5,Upgrade
User 17,Component 21,2020-07-10,3,Upgrade
User 88,Component 97,2020-01-19,2,Gift
User 70,Component 71,2021-11-13,4,Gift
User 61,Component 6,2023-02-26,2,Upgrade
User 31,Component 39,2019-03-20,5,Upgrade
User 98,Component 3,2015-07-14,3,Gift
User 52,Component 30,2016-09-18,5,Replacement
User 83,Component 33,2020-05-24,1,Replacement
User 55,Component 23,2019-07-11,4,Replacement
User 97,Component 33,2021-12-10,4,Replacement
User 83,Component 72,2015-10-13,2,Upgrade
User 57,Component 4,2024-11-19,3,Replacement
User 68,Component 68,2020-06-27,3,Upgrade
User 59,Component 19,2022-02-11,2,Gift
User 40,Component 93,2017-07-29,1,Gift
User 28,Component 83,2015-03-15,3,Replacement
User 5,Component 27,2017-05-09,2,Replacement
User 91,Component 94,2021-08-09,3,Gift
User 87,Component 89,2018-09-04,1,Replacement
User 50,Component 62,2019-03-20,2,Replacement
User 58,Component 35,2018-06-24,5,Replacement
User 55,Component 85,2022-05-01,4,Gift
User 32,Component 38,2022-09-14,3,Upgrade
User 38,Component 70,2024-02-18,3,Replacement
User 100,Component 87,2023-07-29,4,Gift
User 83,Component 89,2015-07-20,1,Gift
User 92,Component 18,2021-03-13,2,Replacement
User 79,Component 10,2024-05-07,4,Replacement
User 50,Component 45,2015-01-30,4,Replacement
User 84,Component 78,2017-06-05,1,Replacement
User 64,Component 34,2023-05-10,4,Upgrade
User 40,Component 6,2019-05-19,2,Replacement
User 11,Component 25,2015-12-13,4,Gift
User 29,Component 18,2021-10-11,2,Gift
User 66,Component 60,2023-01-23,5,Replacement
User 2,Component 75,2024-10-01,4,Upgrade
User 87,Component 48,2020-06-28,1,Replacement
User 99,Component 92,2023-01-05,1,Gift
User 27,Component 24,2019-08-30,4,Upgrade
User 98,Component 40,2015-04-17,1,Gift
User 15,Component 14,2017-05-30,3,Upgrade
User 67,Component 53,2022-01-08,5,Gift
User 81,Component 5,2020-03-27,5,Gift
User 84,Component 68,2022-01-17,2,Upgrade
User 39,Component 81,2015-08-02,3,Upgrade
User 37,Component 66,2021-01-31,2,Gift
User 86,Component 43,2019-05-20,3,Upgrade
User 35,Component 45,2024-07-04,1,Upgrade
User 56,Component 71,2023-07-19,5,Gift
User 52,Component 99,2015-01-13,5,Replacement
User 37,Component 88,2019-03-10,4,Upgrade
User 76,Component 92,2021-05-11,5,Upgrade
