title,rating,verified,purchase_recommendation,review_date
Review Title 1,1,True,False,2022-02-19
Review Title 2,2,True,False,2016-02-04
Review Title 3,1,False,True,2017-07-03
Review Title 4,5,False,False,2019-06-30
Review Title 5,2,True,True,2024-08-28
Review Title 6,1,True,True,2019-09-27
Review Title 7,4,False,True,2020-03-06
Review Title 8,1,False,True,2016-01-03
Review Title 9,2,False,False,2021-04-21
Review Title 10,5,True,True,2021-03-20
Review Title 11,1,True,True,2023-11-19
Review Title 12,2,True,False,2016-07-10
Review Title 13,4,True,False,2021-08-31
Review Title 14,2,False,False,2016-03-14
Review Title 15,3,True,False,2020-07-24
Review Title 16,2,True,False,2021-07-19
Review Title 17,2,True,True,2022-02-27
Review Title 18,2,True,False,2015-01-19
Review Title 19,3,False,True,2023-10-30
Review Title 20,4,True,False,2018-09-28
Review Title 21,4,True,False,2018-10-13
Review Title 22,1,False,True,2015-08-15
Review Title 23,2,False,True,2022-01-21
Review Title 24,2,False,False,2018-02-25
Review Title 25,1,True,False,2023-04-18
Review Title 26,5,True,True,2020-07-18
Review Title 27,4,True,False,2022-02-04
Review Title 28,1,False,True,2018-06-02
Review Title 29,3,True,True,2020-08-19
Review Title 30,2,False,False,2023-03-31
Review Title 31,5,False,True,2024-10-14
Review Title 32,5,False,False,2015-10-09
Review Title 33,5,False,True,2021-05-06
Review Title 34,2,False,False,2020-11-29
Review Title 35,3,True,False,2024-09-13
Review Title 36,2,False,False,2021-09-22
Review Title 37,5,True,False,2024-02-05
Review Title 38,3,True,False,2015-05-17
Review Title 39,4,False,True,2017-06-25
Review Title 40,5,True,False,2022-07-25
Review Title 41,5,True,False,2015-03-15
Review Title 42,1,True,False,2024-10-23
Review Title 43,3,False,True,2016-04-03
Review Title 44,5,False,True,2019-05-19
Review Title 45,4,False,True,2023-10-16
Review Title 46,1,False,False,2019-11-18
Review Title 47,5,True,True,2016-12-25
Review Title 48,1,False,True,2016-03-05
Review Title 49,3,False,False,2019-06-10
Review Title 50,4,False,True,2019-11-24
Review Title 51,4,True,True,2015-02-15
Review Title 52,5,False,False,2016-03-23
Review Title 53,1,False,True,2023-03-18
Review Title 54,5,False,True,2018-01-28
Review Title 55,3,False,False,2016-06-02
Review Title 56,4,False,True,2019-10-26
Review Title 57,5,True,False,2024-11-01
Review Title 58,3,False,False,2020-07-31
Review Title 59,4,True,False,2017-04-18
Review Title 60,1,True,True,2020-06-26
Review Title 61,2,True,False,2024-05-23
Review Title 62,1,True,False,2018-06-11
Review Title 63,1,False,True,2021-07-29
Review Title 64,1,False,True,2018-08-27
Review Title 65,2,False,False,2023-11-05
Review Title 66,2,True,False,2015-07-06
Review Title 67,1,True,True,2024-12-30
Review Title 68,5,True,False,2021-03-03
Review Title 69,2,True,False,2018-04-12
Review Title 70,3,False,False,2024-02-27
Review Title 71,4,False,True,2018-06-23
Review Title 72,1,True,True,2022-02-16
Review Title 73,4,False,True,2023-05-20
Review Title 74,5,False,False,2023-06-23
Review Title 75,3,True,True,2020-09-21
Review Title 76,5,False,False,2018-06-02
Review Title 77,1,False,True,2018-12-12
Review Title 78,4,False,True,2016-12-18
Review Title 79,1,False,True,2023-11-25
Review Title 80,2,False,False,2020-11-27
Review Title 81,5,True,True,2016-02-24
Review Title 82,2,True,True,2017-11-20
Review Title 83,4,False,True,2024-10-05
Review Title 84,5,True,False,2021-06-08
Review Title 85,1,True,True,2017-02-26
Review Title 86,1,True,True,2024-03-02
Review Title 87,4,False,True,2019-05-21
Review Title 88,4,True,True,2017-07-30
Review Title 89,3,True,False,2015-09-19
Review Title 90,4,True,True,2019-03-28
Review Title 91,3,True,False,2020-06-09
Review Title 92,1,True,True,2015-08-24
Review Title 93,2,False,False,2023-02-22
Review Title 94,5,True,False,2021-10-06
Review Title 95,1,False,False,2019-07-16
Review Title 96,1,False,False,2020-08-06
Review Title 97,1,True,False,2020-04-08
Review Title 98,5,False,True,2020-03-04
Review Title 99,2,True,True,2022-03-07
Review Title 100,4,True,False,2022-05-07
